cbsa,cbsatitle,metropolitanmicropolitanstatis,statename
24540,"Greeley, CO",Metropolitan Statistical Area,Colorado
14860,"Bridgeport-Stamford-Norwalk, CT",Metropolitan Statistical Area,Connecticut
25540,"Hartford-West Hartford-East Hartford, CT",Metropolitan Statistical Area,Connecticut
45860,"Torrington, CT",Micropolitan Statistical Area,Connecticut
25540,"Hartford-West Hartford-East Hartford, CT",Metropolitan Statistical Area,Connecticut
35300,"New Haven-Milford, CT",Metropolitan Statistical Area,Connecticut
35980,"Norwich-New London, CT",Metropolitan Statistical Area,Connecticut
25540,"Hartford-West Hartford-East Hartford, CT",Metropolitan Statistical Area,Connecticut
49340,"Worcester, MA-CT",Metropolitan Statistical Area,Connecticut
20100,"Dover, DE",Metropolitan Statistical Area,Delaware
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan Statistical Area,Delaware
41540,"Salisbury, MD-DE",Metropolitan Statistical Area,Delaware
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,District of Columbia
23540,"Gainesville, FL",Metropolitan Statistical Area,Florida
27260,"Jacksonville, FL",Metropolitan Statistical Area,Florida
37460,"Panama City, FL",Metropolitan Statistical Area,Florida
37340,"Palm Bay-Melbourne-Titusville, FL",Metropolitan Statistical Area,Florida
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,Florida
39460,"Punta Gorda, FL",Metropolitan Statistical Area,Florida
26140,"Homosassa Springs, FL",Metropolitan Statistical Area,Florida
27260,"Jacksonville, FL",Metropolitan Statistical Area,Florida
34940,"Naples-Immokalee-Marco Island, FL",Metropolitan Statistical Area,Florida
29380,"Lake City, FL",Micropolitan Statistical Area,Florida
11580,"Arcadia, FL",Micropolitan Statistical Area,Florida
27260,"Jacksonville, FL",Metropolitan Statistical Area,Florida
37860,"Pensacola-Ferry Pass-Brent, FL",Metropolitan Statistical Area,Florida
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,Florida
45220,"Tallahassee, FL",Metropolitan Statistical Area,Florida
23540,"Gainesville, FL",Metropolitan Statistical Area,Florida
37460,"Panama City, FL",Metropolitan Statistical Area,Florida
48100,"Wauchula, FL",Micropolitan Statistical Area,Florida
17500,"Clewiston, FL",Micropolitan Statistical Area,Florida
45300,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area,Florida
42700,"Sebring, FL",Metropolitan Statistical Area,Florida
45300,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area,Florida
42680,"Sebastian-Vero Beach, FL",Metropolitan Statistical Area,Florida
45220,"Tallahassee, FL",Metropolitan Statistical Area,Florida
36740,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area,Florida
15980,"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area,Florida
45220,"Tallahassee, FL",Metropolitan Statistical Area,Florida
35840,"North Port-Sarasota-Bradenton, FL",Metropolitan Statistical Area,Florida
36100,"Ocala, FL",Metropolitan Statistical Area,Florida
38940,"Port St. Lucie, FL",Metropolitan Statistical Area,Florida
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,Florida
28580,"Key West, FL",Micropolitan Statistical Area,Florida
27260,"Jacksonville, FL",Metropolitan Statistical Area,Florida
18880,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area,Florida
36380,"Okeechobee, FL",Micropolitan Statistical Area,Florida
36740,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area,Florida
36740,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area,Florida
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,Florida
45300,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area,Florida
45300,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area,Florida
29460,"Lakeland-Winter Haven, FL",Metropolitan Statistical Area,Florida
37260,"Palatka, FL",Micropolitan Statistical Area,Florida
27260,"Jacksonville, FL",Metropolitan Statistical Area,Florida
38940,"Port St. Lucie, FL",Metropolitan Statistical Area,Florida
37860,"Pensacola-Ferry Pass-Brent, FL",Metropolitan Statistical Area,Florida
35840,"North Port-Sarasota-Bradenton, FL",Metropolitan Statistical Area,Florida
36740,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area,Florida
45540,"The Villages, FL",Metropolitan Statistical Area,Florida
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,Florida
45220,"Tallahassee, FL",Metropolitan Statistical Area,Florida
18880,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area,Florida
10500,"Albany, GA",Metropolitan Statistical Area,Georgia
33300,"Milledgeville, GA",Micropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
22340,"Fitzgerald, GA",Micropolitan Statistical Area,Georgia
31420,"Macon, GA",Metropolitan Statistical Area,Georgia
15260,"Brunswick, GA",Metropolitan Statistical Area,Georgia
46660,"Valdosta, GA",Metropolitan Statistical Area,Georgia
42340,"Savannah, GA",Metropolitan Statistical Area,Georgia
44340,"Statesboro, GA",Micropolitan Statistical Area,Georgia
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
41220,"St. Marys, GA",Micropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
16860,"Chattanooga, TN-GA",Metropolitan Statistical Area,Georgia
42340,"Savannah, GA",Metropolitan Statistical Area,Georgia
17980,"Columbus, GA-AL",Metropolitan Statistical Area,Georgia
44900,"Summerville, GA",Micropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
20060,"Douglas, GA",Micropolitan Statistical Area,Georgia
34220,"Moultrie, GA",Micropolitan Statistical Area,Georgia
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
31420,"Macon, GA",Metropolitan Statistical Area,Georgia
18380,"Cordele, GA",Micropolitan Statistical Area,Georgia
16860,"Chattanooga, TN-GA",Metropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
12460,"Bainbridge, GA",Micropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
10500,"Albany, GA",Metropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
46660,"Valdosta, GA",Metropolitan Statistical Area,Georgia
42340,"Savannah, GA",Metropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
40660,"Rome, GA",Metropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
15260,"Brunswick, GA",Metropolitan Statistical Area,Georgia
15660,"Calhoun, GA",Micropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
18460,"Cornelia, GA",Micropolitan Statistical Area,Georgia
23580,"Gainesville, GA",Metropolitan Statistical Area,Georgia
33300,"Milledgeville, GA",Micropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
17980,"Columbus, GA-AL",Metropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
47580,"Warner Robins, GA",Metropolitan Statistical Area,Georgia
27600,"Jefferson, GA",Micropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
20140,"Dublin, GA",Micropolitan Statistical Area,Georgia
31420,"Macon, GA",Metropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
46660,"Valdosta, GA",Metropolitan Statistical Area,Georgia
20140,"Dublin, GA",Micropolitan Statistical Area,Georgia
10500,"Albany, GA",Metropolitan Statistical Area,Georgia
25980,"Hinesville, GA",Metropolitan Statistical Area,Georgia
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,Georgia
25980,"Hinesville, GA",Metropolitan Statistical Area,Georgia
46660,"Valdosta, GA",Metropolitan Statistical Area,Georgia
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,Georgia
15260,"Brunswick, GA",Metropolitan Statistical Area,Georgia
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,Georgia
17980,"Columbus, GA-AL",Metropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
31420,"Macon, GA",Metropolitan Statistical Area,Georgia
47080,"Vidalia, GA",Micropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
19140,"Dalton, GA",Metropolitan Statistical Area,Georgia
17980,"Columbus, GA-AL",Metropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,Georgia
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
47580,"Warner Robins, GA",Metropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
48180,"Waycross, GA",Micropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
16340,"Cedartown, GA",Micropolitan Statistical Area,Georgia
47580,"Warner Robins, GA",Metropolitan Statistical Area,Georgia
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
11140,"Americus, GA",Micropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
45740,"Toccoa, GA",Micropolitan Statistical Area,Georgia
11140,"Americus, GA",Micropolitan Statistical Area,Georgia
10500,"Albany, GA",Metropolitan Statistical Area,Georgia
45620,"Thomasville, GA",Micropolitan Statistical Area,Georgia
45700,"Tifton, GA",Micropolitan Statistical Area,Georgia
47080,"Vidalia, GA",Micropolitan Statistical Area,Georgia
29300,"LaGrange, GA",Micropolitan Statistical Area,Georgia
31420,"Macon, GA",Metropolitan Statistical Area,Georgia
45580,"Thomaston, GA",Micropolitan Statistical Area,Georgia
16860,"Chattanooga, TN-GA",Metropolitan Statistical Area,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Georgia
48180,"Waycross, GA",Micropolitan Statistical Area,Georgia
27700,"Jesup, GA",Micropolitan Statistical Area,Georgia
19140,"Dalton, GA",Metropolitan Statistical Area,Georgia
10500,"Albany, GA",Metropolitan Statistical Area,Georgia
14260,"Boise City, ID",Metropolitan Statistical Area,Idaho
38540,"Pocatello, ID",Metropolitan Statistical Area,Idaho
13940,"Blackfoot, ID",Micropolitan Statistical Area,Idaho
25200,"Hailey, ID",Micropolitan Statistical Area,Idaho
14260,"Boise City, ID",Metropolitan Statistical Area,Idaho
41760,"Sandpoint, ID",Micropolitan Statistical Area,Idaho
26820,"Idaho Falls, ID",Metropolitan Statistical Area,Idaho
26820,"Idaho Falls, ID",Metropolitan Statistical Area,Idaho
25200,"Hailey, ID",Micropolitan Statistical Area,Idaho
14260,"Boise City, ID",Metropolitan Statistical Area,Idaho
15420,"Burley, ID",Micropolitan Statistical Area,Idaho
34300,"Mountain Home, ID",Micropolitan Statistical Area,Idaho
30860,"Logan, UT-ID",Metropolitan Statistical Area,Idaho
39940,"Rexburg, ID",Micropolitan Statistical Area,Idaho
14260,"Boise City, ID",Metropolitan Statistical Area,Idaho
26820,"Idaho Falls, ID",Metropolitan Statistical Area,Idaho
46300,"Twin Falls, ID",Micropolitan Statistical Area,Idaho
17660,"Coeur d'Alene, ID",Metropolitan Statistical Area,Idaho
34140,"Moscow, ID",Micropolitan Statistical Area,Idaho
25200,"Hailey, ID",Micropolitan Statistical Area,Idaho
39940,"Rexburg, ID",Micropolitan Statistical Area,Idaho
15420,"Burley, ID",Micropolitan Statistical Area,Idaho
30300,"Lewiston, ID-WA",Metropolitan Statistical Area,Idaho
14260,"Boise City, ID",Metropolitan Statistical Area,Idaho
36620,"Ontario, OR-ID",Micropolitan Statistical Area,Idaho
27220,"Jackson, WY-ID",Micropolitan Statistical Area,Idaho
46300,"Twin Falls, ID",Micropolitan Statistical Area,Idaho
39500,"Quincy, IL-MO",Micropolitan Statistical Area,Illinois
16020,"Cape Girardeau, MO-IL",Metropolitan Statistical Area,Illinois
41180,"St. Louis, MO-IL",Metropolitan Statistical Area,Illinois
40420,"Rockford, IL",Metropolitan Statistical Area,Illinois
36860,"Ottawa-Peru, IL",Micropolitan Statistical Area,Illinois
41180,"St. Louis, MO-IL",Metropolitan Statistical Area,Illinois
16580,"Champaign-Urbana, IL",Metropolitan Statistical Area,Illinois
